City	lat	lng	person	category	date	Street	Description	Color
Aberdeen	57.149717	-2.094278	Ida B. Wells	Wells	 Mon 24 April 1893		"Evening lecture, 8pm, on 'lynch law.' Ballroom of the Music Hall."	teal
Aberdeen	57.149717	-2.094278	Moses Roper	Roper	 Tues 7 July 1846		"Bon-Accord Hall, evening."	yellow
Aberdeen	57.149717	-2.094278	Moses Roper	Roper	 Thurs 9 July 1846		Evening lecture on slavery.	yellow
Aberdeen	57.149717	-2.094278	William & Ellen Craft	Craft	 Tues 11 Feb 1851		Evening lecture on slavery and Fugitive Slave Law.	light blue
Aberdeen	57.149717	-2.094278	William & Ellen Craft	Craft	 Wed 12 Feb 1851		"Mechanics Hall, evening 7.30pm, lecture on slavery and Fugitive Slave Law."	light blue
Aberdeen	57.149717	-2.094278	William & Ellen Craft	Craft	 Thurs 13 Feb 1851		"Blackfriars St Chapel, evening 7.30pm, lecture on slavery and Fugitive Slave Law."	light blue
Aberdeen	57.149717	-2.094278	William Craft	Craft	 Mon 10 Feb 1851		"Mechanics Hall, evening lecture on slavery and Fugitive Slave Law."	light blue
Aberdeen	57.149717	-2.094278	William Wells Brown	WellsBrown	 Mon 10 Feb 1851		"Mechanics Hall, evening lecture on slavery and Fugitive Slave Law."	cloud
Aberdeen	57.149717	-2.094278	William Wells Brown	WellsBrown	 Tues 11 Feb 1851		Evening lecture on slavery and Fugitive Slave Law.	cloud
Aberdeen	57.149717	-2.094278	William Wells Brown	WellsBrown	 Wed 12 Feb 1851		Evening lecture on slavery and Fugitive Slave Law.	cloud
Aberdeen	57.149717	-2.094278	William Wells Brown	WellsBrown	 Thurs 13 Feb 1851		"Blackfriars St Chapel, evening lecture"	cloud
Aberdeen	57.149717	-2.094278	William Wells Brown	WellsBrown	 Mon 10 Feb 1851		"Mechanics Hall, evening lecture on slavery and Fugitive Slave Law."	cloud
Aberdeen	57.149717	-2.094278	William Wells Brown	WellsBrown	 Tues 11 Feb 1851		Evening lecture on slavery and the Fugitive Slave Law.	cloud
Aberdeen	57.149717	-2.094278	William Wells Brown	WellsBrown	 Wed 12 Feb 1851		Evening lecture on slavery and Fugitive Slave Law.	cloud
Aberdeen	57.149717	-2.094278	William Wells Brown	WellsBrown	 Thurs 13 Feb 1851		Evening lecture on slavery and Fugitive Slave Law.	cloud
Ashley	53.354477	-2.339083	Moses Roper	Roper	 Fri 8 Feb 1861		Evening lecture on slavery.	yellow
Aylesbury	51.815606	-0.8084	William Wells Brown	WellsBrown	 Fri 14 Sept 1849		"Shire Hall, Buckhamshire. Lecture about Peace Congress in Paris."	cloud
Bangor	53.226625	-4.127418	Thomas Johnson		 2 June 1894			white
Barton-under-Needwood	52.764672	-1.723208	Alexander Crummell	Crummell	 Sun 20 May 1849			red dust
Bath	51.375801	-2.359904	William & Ellen Craft	Craft	 Mon 26 May 1851		"Assembly Rooms, 8pm lecture on slavery."	light blue
Bath	51.375801	-2.359904	William & Ellen Craft	Craft	 Tues 27 May 1851		Assembly Rooms? 2pm lecture on slavery.	light blue
Bath	51.375801	-2.359904	William & Ellen Craft	Craft	 Tues 27? May 1851		"Assembly Rooms, 8pm lecture on slavery."	light blue
Bath	51.375801	-2.359904	William Wells Brown	WellsBrown	 Mon 26 May 1851		"Assembly Rooms, evening lecture at 8pm."	cloud
Bath	51.375801	-2.359904	William Wells Brown	WellsBrown	 Tues 27 May 1851		"Assembly Rooms, Bath. 2pm lecture on slavery."	cloud
Bath	51.375801	-2.359904	William Wells Brown	WellsBrown	 Tues 27 May 1851		"Assembly Rooms, Bath. 8pm lecture on slavery."	cloud
Belfast	54.597285	-5.93012	Charles Remond		 13 Oct 1841		"Assembly Room, Commercial Buildings, evening lecture on slavery."	light purple
Belfast	54.597285	-5.93012	Charles Remond		 15 Oct 1841		"Alfred Street, evening lecture on slavery."	light purple
Belfast	54.597285	-5.93012	Henry Highland Garnet		 Tues 21 Jan 1851		"Slavery and Fugitive Slave Law. Presbyterian Church, Donegall Street. 7pm. Public meeting of the Belfast Antislavery Society."	orange
Beverley	53.841963	-0.435093	Moses Roper	Roper	 Tues 13 Dec 1842		Town Hall.	yellow
Birmingham	52.486243	-1.890401	Alexander Crummell	Crummell	1849			red dust
Birmingham	52.486243	-1.890401	Rev Sella Martin	Martin	 Tues 13 June 1865		"Breakfast meeting, Nock's Royal Hotel, Temple Row."	green
Birmingham	52.486243	-1.890401	Rev Sella Martin	Martin	 Thurs 15 June 1865		"Palace Hotel, breakfast meeting. Palace Hotel."	green
Blackburn	53.748575	-2.487529	Alexander Crummell	Crummell	 Sun 23 Sept 1849		"St John's Church, Blackburn, Preston."	red dust
Blackburn	53.748575	-2.487529	Henry 'Box' Brown	BoxBrown	 Mon 31 March 1851		"Lecture Hall of Burnley Church, evening."	red
Blackburn	53.748575	-2.487529	Henry 'Box' Brown	BoxBrown	 Tues 1 April 1851		"Lecture Hall of Burnley Church, evening."	red
Blackburn	53.748575	-2.487529	Henry 'Box' Brown	BoxBrown	 First 2 weeks of April 1851		"Lecture Hall of Burnley Church, evening lecture."	red
Bolton	53.576865	-2.428219	Henry 'Box' Brown	BoxBrown	 Spring 1852			red
Bradford	53.795984	-1.759398	Moses Roper	Roper	 Tues 3 March 1840		"Temperance Hall, evening. Exhibited whips and chains."	yellow
Bradford	53.795984	-1.759398	Moses Roper	Roper	 Thurs 5 March 1840		Evening lecture on slavery. Exhibited whips and chains.	yellow
Bradford	53.795984	-1.759398	Moses Roper	Roper	 Thurs 4 March 1847		"Baptist Chapel, Bradford."	yellow
Bradford	53.795984	-1.759398	Rev Sella Martin	Martin	 Thurs 29 Nov 1866		"Evening lecture, George's Hall, on the 'labouring classes in the South.'"	green
Bridgwater	51.127889	-3.003632	Moses Roper	Roper	 Fri 25 Jan 1839		"Friend's Meeting House, lecture on slavery."	yellow
Bristol	51.454513	-2.58791	Henry 'Box' Brown	BoxBrown	 Mon 16 April 1855		"Broadmead Rooms, evening."	red
Bristol	51.454513	-2.58791	Henry 'Box' Brown	BoxBrown	 Tues 17 April 1855		"Broadmead Rooms, evening."	red
Bristol	51.454513	-2.58791	Henry 'Box' Brown	BoxBrown	 Wed 18 April 1855		"Broadmead Rooms, evening."	red
Bristol	51.454513	-2.58791	Henry 'Box' Brown	BoxBrown	 Mon 23 April 1855		"Broadmead Rooms, evening."	red
Bristol	51.454513	-2.58791	Henry 'Box' Brown	BoxBrown	 Tues 24 April 1855		"Broadmead Rooms, evening."	red
Bristol	51.454513	-2.58791	Ida B. Wells	Wells	 Tues 10 April 1894	Victoria Street	"Counterslip Chapel, Victoria Street. Evening lecture on lynch law, 7.30pm."	teal
Bristol	51.454513	-2.58791	Ida B. Wells	Wells	 Tues 10 April 1894		"Redland Hall, afternoon lecture on lynch law. Meeting of the West Bristol Women's Liberal Association."	teal
Bristol	51.454513	-2.58791	Ida B. Wells	Wells	 Wed 11 April 1894		"Bedland Park Church, Whiteladies Road, evening lecture at 8pm."	teal
Bristol	51.454513	-2.58791	Ida B. Wells	Wells	 Thurs 12 April 1894		"YMCA Hall, St James' Square, evening lecture at 8pm on lynch law."	teal
Bristol	51.454513	-2.58791	Ida B. Wells	Wells	 Fri 13? April 1894		"Cotham, Wesleyan Chapel, Bedland Road. Evening lecture at 7.30pm."	teal
Bristol	51.454513	-2.58791	Ida B. Wells	Wells	 Tues 17 April 1894		"Russell Town, evening lecture on lynch law."	teal
Bristol	51.454513	-2.58791	Ida B. Wells	Wells	 Sun 10 June 1894		"Old King Street Baptist Chapel, evening service on lynch law."	teal
Bristol	51.454513	-2.58791	J. Pennington		 Mon 14 Oct 1850		"Broadmead Rooms, evening lecture on slavery."	sky
Bristol	51.454513	-2.58791	Rev. William Troy		 Thurs 13 Sept 1860		"Old King Street, Baptist Schoolroom. Evening."	light yellow
Bristol	51.454513	-2.58791	Samuel Ward		 Wed 9 August 1854		"Gideon Chapel, Newfoundland Street. Evening lecture on slavery. Crowded audience."	burgundy
Bristol	51.454513	-2.58791	William & Ellen Craft	Craft	 Wed 9 April 1851		"Public Room, Broadmead. Evening lecture on slavery."	light blue
Bristol	51.454513	-2.58791	William & Ellen Craft	Craft	 Wed 9 Sept 1857		"Possibly Bristol, Victoria Rooms, evening."	light blue
Bristol	51.454513	-2.58791	William Wells Brown	WellsBrown	 Tues 16 April 1850		"Broadmead Rooms, evening lecture on slavery."	cloud
Bristol	51.454513	-2.58791	William Wells Brown	WellsBrown	 Tues 16 April 1850		"Broadmead Rooms, evening lecture on slavery."	cloud
Bristol	51.454513	-2.58791	William Wells Brown	WellsBrown	 Wed 9 April 1851		"Public Room, Broadmead. Evening lecture on slavery."	cloud
Burnley	53.789288	-2.240503	Henry 'Box' Brown	BoxBrown	 End of June 1861		"Evening, displaying panorama."	red
Burton-on-Trent	52.814028	-1.637136	Alexander Crummell	Crummell	1849		"Christ Church, preaching."	red dust
Burton-on-Trent	52.814028	-1.637136	Alexander Crummell	Crummell	 Wed 16 May 1849		"Trinity Church, evening."	red dust
Burton-on-Trent	52.814028	-1.637136	Alexander Crummell	Crummell	 Thurs 17 May 1849		"Christ Church, evening lecture."	red dust
Burton-on-Trent	52.814028	-1.637136	Alexander Crummell	Crummell	 Fri 18 May 1849		"Parish Church, evening."	red dust
Bury	53.59335	-2.296605	Samuel Ward		 Wed 12 July 1854		Evening lecture on slavery. Mayor as chair.	burgundy
Caernarfon	53.139551	-4.273911	Moses Roper	Roper	 Fri 29 Oct 1841		Possibly in Caernarfon. Slavery.	yellow
Carlisle	54.892473	-2.932931	Henry Highland Garnet		 Late Nov 1850		Evening lecture on slavery and tobacco.	orange
Chelmsford	51.735587	0.46855	Moses Roper	Roper	 End of August 1840		"New Independent Chapel, Evening."	yellow
Cheveley	52.222596	0.462666	Moses Roper	Roper	 Wed 6 Feb 1861		Grammar School. Evening lecture on slavery.	yellow
Darlington	54.52361	-1.559458	Moses Roper	Roper	 Late March 1840		"Meeting House, Darlington."	yellow
Dewsbury	53.689833	-1.629695	Henry 'Box' Brown	BoxBrown	 Thurs 27 June 1851		"Large Room behind the Centenary Chapel, Dewsbury. Huddersfield."	red
Dewsbury	53.689833	-1.629695	Henry 'Box' Brown	BoxBrown	 Fri 28 June 1851		"Large room behind the Centenary Chapel, Dewsbury, Huddersfield. Evening."	red
Doncaster	53.52282	-1.128462	Moses Roper	Roper	 Fri 4 October 1839		"New Concert Room, Evening."	yellow
Dublin	53.341049	-6.264937	Charles Remond		 Early June 1840		"Exeter Hall, Meeting of the British and Foreign Antislavery Society"	light purple
Dublin	53.341049	-6.264937	Charles Remond		 Last 2 weeks July 1841		"Friends Meeting House, evening lecture on slavery."	light purple
Dublin	53.341049	-6.264937	Charles Remond		 last two weeks July 1841		"Friends Meeting House, evening lecture on slavery."	light purple
Dublin	53.341049	-6.264937	Charles Remond		 First week August 1841		"Friends Meeting House, evening lecture on slavery."	light purple
Dublin	53.341049	-6.264937	Charles Remond		 First week of August 1841		"Friends Meeting House, evening lecture on slavery."	light purple
Dublin	53.341049	-6.264937	Charles Remond		 Frist week August 1841		"Friends' Meeting House, evening lecture on slavery."	light purple
Dublin	53.341049	-6.264937	Charles Remond		 First week August 1841		"Friend's Meeting House, evening lecture on slavery."	light purple
Dublin	53.341049	-6.264937	Henry Highland Garnet		 Fri 7 Feb 1851		"Slavery and the Fugitive Slave Law. Lecture at the Rotundo, 7pm."	orange
Dublin	53.341049	-6.264937	Joseph Carter		 Mon 17 August 1846		"Union Chapel, Lower Abbey-Street. Evening lecture on slavery."	mold
Dublin	53.341049	-6.264937	Sarah Remond		 3rd week of August 1861		"Lecture on American slavery, evening. Meeting of the National Association for the Promotion of Social Science."	red
